data	fechamento	fechamento.ajustado	volume
03/01/2000	42,00	1,8924	12
04/01/2000	41,00	1,8473	16
05/01/2000	41,00	1,8473	39
06/01/2000	41,00	1,8473	16
07/01/2000	42,50	1,9149	111
10/01/2000	46,00	2,0726	62
11/01/2000	46,10	2,0771	7
12/01/2000	46,55	2,0974	106
13/01/2000	48,10	2,1672	3
14/01/2000	49,00	2,2078	73
17/01/2000	50,00	2,2528	5
18/01/2000	48,50	2,1853	78
19/01/2000	48,30	2,1762	39
20/01/2000	48,00	2,1627	16
21/01/2000	47,00	2,1177	3
24/01/2000	48,00	2,1627	15
26/01/2000	47,60	2,1447	4
27/01/2000	48,00	2,1627	14
28/01/2000	48,00	2,1627	4
01/02/2000	47,00	2,1177	3
02/02/2000	44,00	1,9825	31
03/02/2000	45,00	2,0276	91
04/02/2000	46,70	2,1042	7
07/02/2000	49,00	2,2078	2
08/02/2000	51,85	2,3362	22
09/02/2000	51,00	2,2979	127
10/02/2000	48,00	2,1627	83
11/02/2000	45,49	2,0496	1
14/02/2000	44,90	2,0231	6
15/02/2000	46,00	2,0726	3
16/02/2000	46,00	2,0726	10
17/02/2000	45,00	2,0276	0
18/02/2000	45,00	2,0276	1
21/02/2000	45,00	2,0276	1
22/02/2000	44,00	1,9825	9
23/02/2000	45,00	2,0276	16
24/02/2000	44,50	2,0050	7
25/02/2000	44,00	1,9825	1
28/02/2000	43,00	1,9374	2
29/02/2000	40,80	1,8383	14
01/03/2000	40,00	1,8023	37
02/03/2000	39,98	1,8014	13
03/03/2000	39,49	1,7793	12
08/03/2000	39,71	1,7892	3
09/03/2000	38,90	1,7527	7
10/03/2000	38,00	1,7122	4
13/03/2000	37,00	1,6671	3
14/03/2000	35,99	1,6216	48
15/03/2000	36,10	1,6266	44
16/03/2000	36,60	1,6491	286
17/03/2000	36,29	1,6351	130
20/03/2000	34,00	1,5319	22
21/03/2000	35,06	1,5797	2
22/03/2000	35,70	1,6085	42
23/03/2000	36,50	1,6446	14
24/03/2000	38,50	1,7347	29
27/03/2000	39,50	1,7797	26
28/03/2000	38,30	1,7257	26
29/03/2000	39,02	1,7581	16
30/03/2000	38,98	1,7563	1
31/03/2000	40,00	1,8023	21
03/04/2000	41,00	1,8473	12
04/04/2000	39,00	1,7572	22
05/04/2000	40,50	1,8248	12
06/04/2000	41,00	1,8473	74
07/04/2000	40,50	1,8248	2
10/04/2000	39,97	1,8009	30
11/04/2000	39,96	1,8005	37
13/04/2000	39,00	1,7572	2
